Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,Total renewable energy,Electricity generation (GWh),222955.105,278132.112,288812.81,284694.16,354851.608,401113.692,442586.347,496289.938,606278.735,654484.298,780007.569,783048.977,994392.037,1086040.897,1269855.858,1381355.19,1522404.628,1648540.782,1810863.561,1986040.707
China HK SAR,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
China Mac SAR,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Chinese Taipei,Total renewable energy,Electricity generation (GWh),5608.5,6422.5,4394.5,4831.5,5085.5,6013,6214.5,6743.5,6713.5,6291,7076,7389.5,9073,9233,8259.5,8783,11031.5,10694.5,10869.5,13435.999
India,Total renewable energy,Electricity generation (GWh),77580.812,77789.229,76004.549,72609.131,85135.555,98787.334,119298.595,133547.031,139646.563,134720.053,140436.513,157334.039,176361.025,176245.094,199835.46,197630.874,190238.034,209261.835,237056.614,271163.243
Indonesia,Total renewable energy,Electricity generation (GWh),19599.775,22207.324,21022.083,19832.222,20991.451,22678.75,21201.986,24317.482,26377.162,26843.439,34693.4,30524.124,31180.779,35597.312,34510.152,33679.459,39649.097,43200.549,48193.74,47563.2
Japan,Total renewable energy,Electricity generation (GWh),96981,94088,94309,109409,109123,96788,109028,95473,98523,100135,106461,109837,103664,114480,129698,146098,151523,168028,175139,186259
Kazakhstan,Total renewable energy,Electricity generation (GWh),7531,8081,8890,8600,8000,7900.09,7700.19,8201.01,7401.54,6801.81,8025.563,7904.9,7611.295,7758.203,8419.223,9561.709,12079.7,11760.279,11268.507,11758.071
Korea DPR,Total renewable energy,Electricity generation (GWh),10200,10600.035,10620.049,11720.332,12500.432,13132.47,12620.538,13280.592,14068.987,12501.172,13401.577,13202.53,13503.309,13710.269,13664.072,10029.754,12841.029,11945.916,12849.786,11053.656
Korea Rep,Total renewable energy,Electricity generation (GWh),4111,4258,3434,5123,4631,4052,4018,4557,4376,4687,6187.039,7531.367,7558.984,8783.06,8553,10642,15884,18622,23025,27405
Kyrgyzstan,Total renewable energy,Electricity generation (GWh),13682,12430,10787,13004,14094.3,13980.4,13652.5,14004.1,10759.1,10098,11254.6,14309.1,14179,13096.7,13297.6,11092.7,11497.8,14203.5,14318.3,13859.2
Lao PDR,Total renewable energy,Electricity generation (GWh),3687.7,3640,3477.6,3186.5,3355.5,3520.2,3606.503,3384.103,3728.604,3388.911,8457.32,12991.922,12768.922,15522.987,15759.556,16008.373,17610.684,19520.57,21234.951,18972.4
Malaysia,Total renewable energy,Electricity generation (GWh),7564.904,6638.149,5987.149,5663.763,6152.429,6609.039,7036.977,6840.783,8722.943,7964.974,7716.99,8693.29,10847.198,13117.198,14537.667,16723.758,21416.762,28035.801,28829.972,28919.024
Maldives,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0.018,0.096,0.13,2.599,2.809,2.841,2.869,4.579,5.222,8.653,8.678,12.711,16.761,16.761,22.193
Mongolia,Total renewable energy,Electricity generation (GWh),3.954,5.42,5.42,5.768,5.768,5.768,5.771,6.221,13.417,28.36,45.336,63.024,62.601,123.059,202.55,223.142,253.29,269.391,479.591,664.491
Myanmar,Total renewable energy,Electricity generation (GWh),2012.682,2153.068,2242.308,2215.638,2556.39,3149.091,3492.239,3819.233,4273.269,5455.076,6381.301,7745.062,7966.804,11530.947,10532.584,10875.34,12385.041,13506.729,14968.89,13228.743
Nepal,Total renewable energy,Electricity generation (GWh),1640.31,1819.951,2082.743,2247.273,2395.387,2563.345,2735.964,2877.742,2909.412,2868.815,3082.592,3482.257,3652.394,3624.061,3736.538,3709.572,3950.861,4609.13,4927.227,5710.103
Pakistan,Total renewable energy,Electricity generation (GWh),19433.989,19249.76,21906.436,26217.483,27921.894,29446.649,32517.972,31685.387,30056.143,29643.074,31562.032,31802.426,30931.264,33102.042,34839.307,36865.045,37921.254,36395.848,37195.824,42599.163
Philippines,Total renewable energy,Electricity generation (GWh),18980.48,17092.143,16812.409,17219.607,17971.174,17515.998,19633.449,18112.35,20469.462,19702.23,17390.026,19659.55,20451.003,19487.069,19210.493,20316.884,21364.428,22574.065,22712.81,21443.295
Singapore,Total renewable energy,Electricity generation (GWh),1378.779,1378.779,1378.779,1378.779,1378.779,1378.779,1378.779,1378.779,1379.077,1159.45,1520.249,1550.705,1583.317,1847.183,1992.431,2107.384,2372.206,2242.306,2173.656,2262.456
Sri Lanka,Total renewable energy,Electricity generation (GWh),3208.847,3122.351,2705.975,3324.47,2976.025,3471.134,4655.025,3966.826,4160.422,3924.331,5728.631,4763.279,3482.52,7187.346,6576.218,6389.968,4659.901,4542.385,6999.771,5564.427
Tajikistan,Total renewable energy,Electricity generation (GWh),14060,14200,15200,16400,16339,16967.5,16700,17114,15800,15900,16400,16200,16900,17071,16312,16900,16802.875,17312.075,18573.275,19347.975
Thailand,Total renewable energy,Electricity generation (GWh),6537,6797,8159,8452,7322,7330,9632.611,9951.154,9893.362,10280.236,9022.409,19614.123,20743.273,19942.634,20913.296,22529.442,38469.767,36004.6,42666.77,47243.148
Timor Leste,Total renewable energy,Electricity generation (GWh),0,0,0,0,0.212,0.212,0.212,0.212,1.712,1.712,1.712,1.712,1.712,2.578,2.578,2.578,2.578,2.646,2.646,2.646
