Region,Country,Group Technology,Technology,Electricity Generation (GWh)
Africa,Algeria,Hydropower (excl. Pumped Storage),Renewable hydropower,117
Africa,Algeria,Solar energy,Concentrated solar power,133.11
Africa,Algeria,Solar energy,Off-grid Solar photovoltaic,373.6
Africa,Algeria,Wind energy,Onshore wind energy,159.9
Africa,Angola,Bioenergy,Solid biofuels,200
Africa,Angola,Hydropower (excl. Pumped Storage),Renewable hydropower,25.718
Africa,Angola,Hydropower (excl. Pumped Storage),Renewable hydropower,7653.016
Africa,Angola,Solar energy,Off-grid Solar photovoltaic,18.271
Africa,Benin,Hydropower (excl. Pumped Storage),Renewable hydropower,0.072
Africa,Benin,Solar energy,Off-grid Solar photovoltaic,2.759
Africa,Benin,Solar energy,On-grid Solar photovoltaic,2.578
Africa,Botswana,Solar energy,Off-grid Solar photovoltaic,2.761
Africa,Botswana,Solar energy,On-grid Solar photovoltaic,1.946
Africa,Burkina Faso,Bioenergy,Biogas,1
Africa,Burkina Faso,Bioenergy,Liquid biofuels,0.3
Africa,Burkina Faso,Hydropower (excl. Pumped Storage),Renewable hydropower,127.933
Africa,Burkina Faso,Solar energy,Off-grid Solar photovoltaic,43.7
Africa,Burkina Faso,Solar energy,On-grid Solar photovoltaic,9.447
Africa,Burundi,Bioenergy,Solid biofuels,5.788
Africa,Burundi,Hydropower (excl. Pumped Storage),Renewable hydropower,7.979
Africa,Burundi,Hydropower (excl. Pumped Storage),Renewable hydropower,232.357
Africa,Burundi,Solar energy,Off-grid Solar photovoltaic,7.299
Africa,Burundi,Solar energy,On-grid Solar photovoltaic,0.626
Africa,Cabo Verde,Solar energy,Off-grid Solar photovoltaic,0.067
Africa,Cabo Verde,Solar energy,On-grid Solar photovoltaic,9.054
Africa,Cabo Verde,Wind energy,Onshore wind energy,80.231
Africa,Cameroon,Hydropower (excl. Pumped Storage),Renewable hydropower,5089.9
Africa,Cameroon,Solar energy,Off-grid Solar photovoltaic,19.5
Africa,Central African Republic,Hydropower (excl. Pumped Storage),Renewable hydropower,1.3
Africa,Central African Republic,Hydropower (excl. Pumped Storage),Renewable hydropower,134.3
Africa,Central African Republic,Solar energy,Off-grid Solar photovoltaic,0.426
Africa,Chad,Solar energy,Off-grid Solar photovoltaic,0.318
Africa,Chad,Wind energy,Onshore wind energy,8.9
Africa,Congo,Hydropower (excl. Pumped Storage),Renewable hydropower,1241.502
Africa,Congo,Solar energy,Off-grid Solar photovoltaic,0.714
Africa,Côte d'Ivoire,Hydropower (excl. Pumped Storage),Renewable hydropower,2962
Africa,Côte d'Ivoire,Solar energy,Off-grid Solar photovoltaic,6.8
Africa,Democratic Republic of the Congo,Hydropower (excl. Pumped Storage),Renewable hydropower,475.919
Africa,Democratic Republic of the Congo,Hydropower (excl. Pumped Storage),Renewable hydropower,9460
Africa,Democratic Republic of the Congo,Solar energy,Off-grid Solar photovoltaic,26.68
Africa,Djibouti,Solar energy,Off-grid Solar photovoltaic,0.6
Africa,Egypt,Bioenergy,Solid biofuels,304.854
Africa,Egypt,Hydropower (excl. Pumped Storage),Renewable hydropower,12726
Africa,Egypt,Solar energy,Concentrated solar power,483.924
Africa,Egypt,Solar energy,Off-grid Solar photovoltaic,24.96
Africa,Egypt,Solar energy,On-grid Solar photovoltaic,44.129
Africa,Egypt,Wind energy,Onshore wind energy,2334
Africa,Equatorial Guinea,Hydropower (excl. Pumped Storage),Renewable hydropower,127
Africa,Eritrea,Solar energy,Off-grid Solar photovoltaic,19.446
Africa,Eritrea,Wind energy,Onshore wind energy,2
Africa,Eswatini,Bioenergy,Solid biofuels,200.008
Africa,Eswatini,Hydropower (excl. Pumped Storage),Renewable hydropower,3.4
Africa,Eswatini,Hydropower (excl. Pumped Storage),Renewable hydropower,207.8
Africa,Eswatini,Solar energy,Off-grid Solar photovoltaic,1.174
Africa,Eswatini,Solar energy,On-grid Solar photovoltaic,0.105
Africa,Ethiopia,Bioenergy,Solid biofuels,29.498
Africa,Ethiopia,Hydropower (excl. Pumped Storage),Renewable hydropower,12680.954
Africa,Ethiopia,Solar energy,Off-grid Solar photovoltaic,17.624
Africa,Ethiopia,Wind energy,Onshore wind energy,0.011
Africa,Ethiopia,Wind energy,Onshore wind energy,532.513
Africa,Gabon,Bioenergy,Biogas,1.22
Africa,Gabon,Hydropower (excl. Pumped Storage),Renewable hydropower,1.387
Africa,Gabon,Hydropower (excl. Pumped Storage),Renewable hydropower,980.93
Africa,Gabon,Solar energy,Off-grid Solar photovoltaic,1.92
Africa,Gambia,Solar energy,Off-grid Solar photovoltaic,3.192
Africa,Gambia,Solar energy,On-grid Solar photovoltaic,0.28
Africa,Gambia,Wind energy,Onshore wind energy,0.1
Africa,Ghana,Bioenergy,Biogas,0.32
Africa,Ghana,Bioenergy,Solid biofuels,357.423
Africa,Ghana,Hydropower (excl. Pumped Storage),Renewable hydropower,6017
Africa,Ghana,Solar energy,Off-grid Solar photovoltaic,10.622
Africa,Ghana,Solar energy,On-grid Solar photovoltaic,32.8
Africa,Ghana,Wind energy,Onshore wind energy,0.054
Africa,Guinea,Hydropower (excl. Pumped Storage),Renewable hydropower,9.024
Africa,Guinea,Hydropower (excl. Pumped Storage),Renewable hydropower,732
Africa,Guinea,Solar energy,Off-grid Solar photovoltaic,20.47
Africa,Guinea,Solar energy,On-grid Solar photovoltaic,0.123
Africa,Guinea-Bissau,Solar energy,Off-grid Solar photovoltaic,1.889
Africa,Kenya,Bioenergy,Biogas,0.482
Africa,Kenya,Bioenergy,Biogas,0.55
Africa,Kenya,Bioenergy,Solid biofuels,162.873
Africa,Kenya,Geothermal energy,Geothermal energy,5004.757
Africa,Kenya,Hydropower (excl. Pumped Storage),Renewable hydropower,3355.381
Africa,Kenya,Solar energy,Off-grid Solar photovoltaic,72.871
Africa,Kenya,Solar energy,On-grid Solar photovoltaic,1.683
Africa,Kenya,Wind energy,Onshore wind energy,0.062
Africa,Kenya,Wind energy,Onshore wind energy,55.845
Africa,Lesotho,Hydropower (excl. Pumped Storage),Renewable hydropower,0.4
Africa,Lesotho,Hydropower (excl. Pumped Storage),Renewable hydropower,538.274
Africa,Lesotho,Solar energy,Off-grid Solar photovoltaic,0.282
Africa,Lesotho,Solar energy,On-grid Solar photovoltaic,0.48
Africa,Liberia,Hydropower (excl. Pumped Storage),Renewable hydropower,21
Africa,Liberia,Hydropower (excl. Pumped Storage),Renewable hydropower,103
Africa,Liberia,Solar energy,Off-grid Solar photovoltaic,3.624
Africa,Libya,Solar energy,Off-grid Solar photovoltaic,7.791
Africa,Madagascar,Bioenergy,Solid biofuels,0.615
Africa,Madagascar,Hydropower (excl. Pumped Storage),Renewable hydropower,29.974
Africa,Madagascar,Hydropower (excl. Pumped Storage),Renewable hydropower,968.331
Africa,Madagascar,Solar energy,Off-grid Solar photovoltaic,22.555
Africa,Madagascar,Wind energy,Onshore wind energy,0.465
Africa,Malawi,Bioenergy,Solid biofuels,53.849
Africa,Malawi,Hydropower (excl. Pumped Storage),Renewable hydropower,6.342
Africa,Malawi,Hydropower (excl. Pumped Storage),Renewable hydropower,1350.132
Africa,Malawi,Solar energy,Off-grid Solar photovoltaic,45.001
Africa,Malawi,Solar energy,On-grid Solar photovoltaic,1.779
Africa,Mali,Hydropower (excl. Pumped Storage),Renewable hydropower,1702.174
Africa,Mali,Solar energy,Off-grid Solar photovoltaic,31.751
Africa,Mauritania,Solar energy,Off-grid Solar photovoltaic,33.706
Africa,Mauritania,Solar energy,On-grid Solar photovoltaic,110
Africa,Mauritania,Wind energy,Onshore wind energy,13.336
Africa,Mauritania,Wind energy,Onshore wind energy,90.928
Africa,Mauritius,Bioenergy,Biogas,22.6
Africa,Mauritius,Bioenergy,Solid biofuels,437.1
Africa,Mauritius,Hydropower (excl. Pumped Storage),Renewable hydropower,124.5
Africa,Mauritius,Solar energy,On-grid Solar photovoltaic,49.4
Africa,Mauritius,Wind energy,Onshore wind energy,15.1
Africa,Mayotte,Solar energy,On-grid Solar photovoltaic,16.863
Africa,Morocco,Bioenergy,Biogas,13.264
Africa,Morocco,Hydropower (excl. Pumped Storage),Renewable hydropower,1693.443
Africa,Morocco,Solar energy,Concentrated solar power,948.753
Africa,Morocco,Solar energy,Off-grid Solar photovoltaic,29.348
Africa,Morocco,Solar energy,On-grid Solar photovoltaic,1.402
Africa,Morocco,Wind energy,Onshore wind energy,15.242
Africa,Morocco,Wind energy,Onshore wind energy,3840.743
Africa,Mozambique,Bioenergy,Solid biofuels,61.457
Africa,Mozambique,Hydropower (excl. Pumped Storage),Renewable hydropower,6.69
Africa,Mozambique,Hydropower (excl. Pumped Storage),Renewable hydropower,13901
Africa,Mozambique,Solar energy,Off-grid Solar photovoltaic,1.648
Africa,Namibia,Bioenergy,Solid biofuels,0.219
Africa,Namibia,Hydropower (excl. Pumped Storage),Renewable hydropower,1085.5
Africa,Namibia,Solar energy,Off-grid Solar photovoltaic,40.788
Africa,Namibia,Solar energy,On-grid Solar photovoltaic,139.038
Africa,Namibia,Wind energy,Onshore wind energy,0.029
Africa,Namibia,Wind energy,Onshore wind energy,18.092
Africa,Niger,Solar energy,Off-grid Solar photovoltaic,32.7
Africa,Nigeria,Bioenergy,Biogas,0.16
Africa,Nigeria,Bioenergy,Solid biofuels,32.927
Africa,Nigeria,Hydropower (excl. Pumped Storage),Renewable hydropower,3.128
Africa,Nigeria,Hydropower (excl. Pumped Storage),Renewable hydropower,6755.211
Africa,Nigeria,Solar energy,Off-grid Solar photovoltaic,25.944
Africa,Nigeria,Solar energy,On-grid Solar photovoltaic,2.245
Africa,Nigeria,Wind energy,Onshore wind energy,3
Africa,Réunion,Bioenergy,Biogas,12.7
Africa,Réunion,Bioenergy,Solid biofuels,196.3
Africa,Réunion,Bioenergy,Liquid biofuels,2.3
Africa,Réunion,Hydropower (excl. Pumped Storage),Renewable hydropower,601.4
Africa,Réunion,Solar energy,On-grid Solar photovoltaic,253.3
Africa,Réunion,Wind energy,Onshore wind energy,12.8
Africa,Rwanda,Bioenergy,Solid biofuels,2.329
Africa,Rwanda,Hydropower (excl. Pumped Storage),Renewable hydropower,2.283
Africa,Rwanda,Hydropower (excl. Pumped Storage),Renewable hydropower,328.398
Africa,Rwanda,Solar energy,Off-grid Solar photovoltaic,27.847
Africa,Rwanda,Solar energy,On-grid Solar photovoltaic,16.357
Africa,Sao Tome and Principe,Hydropower (excl. Pumped Storage),Renewable hydropower,5.89
Africa,Sao Tome and Principe,Solar energy,Off-grid Solar photovoltaic,0.399
Africa,Senegal,Bioenergy,Solid biofuels,110.3
Africa,Senegal,Solar energy,Off-grid Solar photovoltaic,20.484
Africa,Senegal,Solar energy,On-grid Solar photovoltaic,212.45
Africa,Seychelles,Solar energy,Off-grid Solar photovoltaic,1.291
Africa,Seychelles,Solar energy,On-grid Solar photovoltaic,3.535
Africa,Seychelles,Wind energy,Onshore wind energy,7.392
Africa,Sierra Leone,Bioenergy,Solid biofuels,3.942
Africa,Sierra Leone,Hydropower (excl. Pumped Storage),Renewable hydropower,19.123
Africa,Sierra Leone,Hydropower (excl. Pumped Storage),Renewable hydropower,219
Africa,Sierra Leone,Solar energy,Off-grid Solar photovoltaic,6.228
Africa,Somalia,Solar energy,Off-grid Solar photovoltaic,11.026
Africa,Somalia,Wind energy,Onshore wind energy,6.22
Africa,South Africa,Nuclear,Nuclear,12233.25
Africa,South Africa,Bioenergy,Biogas,45.3
Africa,South Africa,Bioenergy,Solid biofuels,443.939
Africa,South Africa,Hydropower (excl. Pumped Storage),Renewable hydropower,19.529
Africa,South Africa,Hydropower (excl. Pumped Storage),Renewable hydropower,949
Africa,South Africa,Solar energy,Concentrated solar power,1029
Africa,South Africa,Solar energy,On-grid Solar photovoltaic,3926.261
Africa,South Africa,Wind energy,Onshore wind energy,6467
Africa,South Sudan,Solar energy,Off-grid Solar photovoltaic,0.827
Africa,Sudan,Bioenergy,Solid biofuels,118.055
Africa,Sudan,Hydropower (excl. Pumped Storage),Renewable hydropower,9657
Africa,Sudan,Solar energy,Off-grid Solar photovoltaic,20.455
Africa,Togo,Hydropower (excl. Pumped Storage),Renewable hydropower,204
Africa,Togo,Solar energy,Off-grid Solar photovoltaic,4.449
Africa,Tunisia,Hydropower (excl. Pumped Storage),Renewable hydropower,17
Africa,Tunisia,Solar energy,Off-grid Solar photovoltaic,2.987
Africa,Tunisia,Solar energy,On-grid Solar photovoltaic,55
Africa,Tunisia,Wind energy,Onshore wind energy,453
Africa,Uganda,Bioenergy,Solid biofuels,285.993
Africa,Uganda,Hydropower (excl. Pumped Storage),Renewable hydropower,16.137
Africa,Uganda,Hydropower (excl. Pumped Storage),Renewable hydropower,3601.18
Africa,Uganda,Solar energy,Off-grid Solar photovoltaic,40.712
Africa,Uganda,Solar energy,On-grid Solar photovoltaic,32.31
Africa,United Republic of Tanzania,Bioenergy,Biogas,0.035
Africa,United Republic of Tanzania,Bioenergy,Biogas,4.3
Africa,United Republic of Tanzania,Bioenergy,Solid biofuels,63.798
Africa,United Republic of Tanzania,Bioenergy,Solid biofuels,74.248
Africa,United Republic of Tanzania,Bioenergy,Liquid biofuels,0.21
Africa,United Republic of Tanzania,Hydropower (excl. Pumped Storage),Renewable hydropower,48.578
Africa,United Republic of Tanzania,Hydropower (excl. Pumped Storage),Renewable hydropower,1788.438
Africa,United Republic of Tanzania,Solar energy,Off-grid Solar photovoltaic,45.585
Africa,Zambia,Bioenergy,Solid biofuels,78.305
Africa,Zambia,Hydropower (excl. Pumped Storage),Renewable hydropower,2.7
Africa,Zambia,Hydropower (excl. Pumped Storage),Renewable hydropower,13690.77
Africa,Zambia,Solar energy,Off-grid Solar photovoltaic,0.389
Africa,Zimbabwe,Bioenergy,Solid biofuels,257.021
Africa,Zimbabwe,Hydropower (excl. Pumped Storage),Renewable hydropower,5.618
Africa,Zimbabwe,Hydropower (excl. Pumped Storage),Renewable hydropower,5449.06
Africa,Zimbabwe,Solar energy,Off-grid Solar photovoltaic,13.823
Africa,Zimbabwe,Solar energy,On-grid Solar photovoltaic,4.709
Asia,Afghanistan,Hydropower (excl. Pumped Storage),Renewable hydropower,105.841
Asia,Afghanistan,Hydropower (excl. Pumped Storage),Renewable hydropower,821.811
Asia,Afghanistan,Solar energy,Off-grid Solar photovoltaic,34.914
Asia,Afghanistan,Solar energy,On-grid Solar photovoltaic,2.263
Asia,Afghanistan,Wind energy,Onshore wind energy,0.123
Asia,Bangladesh,Bioenergy,Biogas,2.001
Asia,Bangladesh,Bioenergy,Solid biofuels,0.876
Asia,Bangladesh,Hydropower (excl. Pumped Storage),Renewable hydropower,898.489
Asia,Bangladesh,Solar energy,Off-grid Solar photovoltaic,212.927
Asia,Bangladesh,Solar energy,On-grid Solar photovoltaic,62.141
Asia,Bangladesh,Wind energy,Onshore wind energy,3.504
Asia,Bangladesh,Wind energy,Onshore wind energy,1.577
Asia,Bhutan,Hydropower (excl. Pumped Storage),Renewable hydropower,18.05
Asia,Bhutan,Hydropower (excl. Pumped Storage),Renewable hydropower,6940.58
Asia,Bhutan,Solar energy,Off-grid Solar photovoltaic,0.662
Asia,Bhutan,Wind energy,Onshore wind energy,1.13
Asia,Brunei Darussalam,Solar energy,On-grid Solar photovoltaic,1.596
Asia,Cambodia,Bioenergy,Biogas,5.84
Asia,Cambodia,Bioenergy,Solid biofuels,1.484
Asia,Cambodia,Bioenergy,Solid biofuels,69.148
Asia,Cambodia,Hydropower (excl. Pumped Storage),Renewable hydropower,4737.013
Asia,Cambodia,Solar energy,Off-grid Solar photovoltaic,1.952
Asia,Cambodia,Solar energy,On-grid Solar photovoltaic,41.033
Asia,Cambodia,Wind energy,Onshore wind energy,0.3
Asia,China,Nuclear,Nuclear,295000
Asia,China,Bioenergy,Biogas,3203.58
Asia,China,Bioenergy,Solid biofuels,40832.931
Asia,China,Bioenergy,Renewable municipal waste,23264.092
Asia,China,Geothermal energy,Geothermal energy,143.5
Asia,China,Hydropower (excl. Pumped Storage),Renewable hydropower,1199200
Asia,China,Solar energy,Concentrated solar power,8.983
Asia,China,Solar energy,Off-grid Solar photovoltaic,515.043
Asia,China,Solar energy,On-grid Solar photovoltaic,177546.728
Asia,China,Wind energy,Onshore wind energy,491.97
Asia,China,Wind energy,Onshore wind energy,356848.155
Asia,China,Wind energy,Offshore wind energy,9112.079
Asia,Chinese Taipei,Nuclear,Nuclear,27682.4
Asia,Chinese Taipei,Bioenergy,Biogas,23.208
Asia,Chinese Taipei,Bioenergy,Solid biofuels,150.292
Asia,Chinese Taipei,Bioenergy,Renewable municipal waste,1784.85
Asia,Chinese Taipei,Hydropower (excl. Pumped Storage),Renewable hydropower,4468.4
Asia,Chinese Taipei,Solar energy,On-grid Solar photovoltaic,2739.6
Asia,Chinese Taipei,Wind energy,Onshore wind energy,1667
Asia,Chinese Taipei,Wind energy,Offshore wind energy,18.9
Asia,Democratic People's Republic of Korea,Hydropower (excl. Pumped Storage),Renewable hydropower,12800
Asia,Democratic People's Republic of Korea,Solar energy,Off-grid Solar photovoltaic,48.736
Asia,Democratic People's Republic of Korea,Wind energy,Onshore wind energy,1.05
Asia,India,Nuclear,Nuclear,38212.84
Asia,India,Bioenergy,Biogas,13.403
Asia,India,Bioenergy,Biogas,15.418
Asia,India,Bioenergy,Solid biofuels,2275.5
Asia,India,Bioenergy,Solid biofuels,15505.43
Asia,India,Bioenergy,Renewable municipal waste,187.579
Asia,India,Hydropower (excl. Pumped Storage),Renewable hydropower,230.952
Asia,India,Hydropower (excl. Pumped Storage),Renewable hydropower,131418.748
Asia,India,Solar energy,Concentrated solar power,360.299
Asia,India,Solar energy,Off-grid Solar photovoltaic,1486.152
Asia,India,Solar energy,On-grid Solar photovoltaic,29220.352
Asia,India,Wind energy,Onshore wind energy,55008.662
Asia,Indonesia,Bioenergy,Biogas,23.652
Asia,Indonesia,Bioenergy,Biogas,33.638
Asia,Indonesia,Bioenergy,Solid biofuels,8937.48
Asia,Indonesia,Bioenergy,Solid biofuels,591.362
Asia,Indonesia,Bioenergy,Renewable municipal waste,3
Asia,Indonesia,Geothermal energy,Geothermal energy,13295.81
Asia,Indonesia,Hydropower (excl. Pumped Storage),Renewable hydropower,46.523
Asia,Indonesia,Hydropower (excl. Pumped Storage),Renewable hydropower,17375.68
Asia,Indonesia,Solar energy,Off-grid Solar photovoltaic,90.619
Asia,Indonesia,Solar energy,On-grid Solar photovoltaic,29.56
Asia,Indonesia,Wind energy,Onshore wind energy,5.7
Asia,Japan,Nuclear,Nuclear,64929.209
Asia,Japan,Bioenergy,Biogas,151.2
Asia,Japan,Bioenergy,Solid biofuels,21094.56
Asia,Japan,Bioenergy,Renewable municipal waste,1830.6
Asia,Japan,Geothermal energy,Geothermal energy,2457
Asia,Japan,Hydropower (excl. Pumped Storage),Renewable hydropower,80968.394
Asia,Japan,Solar energy,On-grid Solar photovoltaic,62667.671
Asia,Japan,Wind energy,Onshore wind energy,7376.228
Asia,Japan,Wind energy,Offshore wind energy,105
Asia,Kazakhstan,Bioenergy,Biogas,32.246
Asia,Kazakhstan,Bioenergy,Solid biofuels,25.535
Asia,Kazakhstan,Hydropower (excl. Pumped Storage),Renewable hydropower,10395.354
Asia,Kazakhstan,Solar energy,Off-grid Solar photovoltaic,243.178
Asia,Kazakhstan,Solar energy,On-grid Solar photovoltaic,141.311
Asia,Kazakhstan,Wind energy,Onshore wind energy,460.583
Asia,Kyrgyzstan,Hydropower (excl. Pumped Storage),Renewable hydropower,14318.3
Asia,Lao People's Democratic Republic,Bioenergy,Solid biofuels,45.83
Asia,Lao People's Democratic Republic,Hydropower (excl. Pumped Storage),Renewable hydropower,8.1
Asia,Lao People's Democratic Republic,Hydropower (excl. Pumped Storage),Renewable hydropower,21161.625
Asia,Lao People's Democratic Republic,Solar energy,Off-grid Solar photovoltaic,2.229
Asia,Lao People's Democratic Republic,Solar energy,On-grid Solar photovoltaic,17.167
Asia,Malaysia,Bioenergy,Biogas,224.43
Asia,Malaysia,Bioenergy,Solid biofuels,1334.28
Asia,Malaysia,Bioenergy,Solid biofuels,173.557
Asia,Malaysia,Bioenergy,Renewable municipal waste,24.223
Asia,Malaysia,Hydropower (excl. Pumped Storage),Renewable hydropower,0.788
Asia,Malaysia,Hydropower (excl. Pumped Storage),Renewable hydropower,26295
Asia,Malaysia,Solar energy,Off-grid Solar photovoltaic,9.157
Asia,Malaysia,Solar energy,On-grid Solar photovoltaic,430.51
Asia,Maldives,Solar energy,Off-grid Solar photovoltaic,14.296
Asia,Maldives,Wind energy,Onshore wind energy,2.465
Asia,Mongolia,Hydropower (excl. Pumped Storage),Renewable hydropower,1.991
Asia,Mongolia,Hydropower (excl. Pumped Storage),Renewable hydropower,78.7
Asia,Mongolia,Solar energy,Off-grid Solar photovoltaic,7.794
Asia,Mongolia,Solar energy,On-grid Solar photovoltaic,51.1
Asia,Mongolia,Wind energy,Onshore wind energy,1.007
Asia,Mongolia,Wind energy,Onshore wind energy,339
Asia,Myanmar,Bioenergy,Biogas,2.044
Asia,Myanmar,Bioenergy,Solid biofuels,19.954
Asia,Myanmar,Bioenergy,Renewable municipal waste,1.332
Asia,Myanmar,Hydropower (excl. Pumped Storage),Renewable hydropower,1.25
Asia,Myanmar,Hydropower (excl. Pumped Storage),Renewable hydropower,12412.42
Asia,Myanmar,Solar energy,Off-grid Solar photovoltaic,69.886
Asia,Myanmar,Wind energy,Onshore wind energy,0.02
Asia,Nepal,Hydropower (excl. Pumped Storage),Renewable hydropower,244.842
Asia,Nepal,Hydropower (excl. Pumped Storage),Renewable hydropower,4607.02
Asia,Nepal,Solar energy,Off-grid Solar photovoltaic,75.207
Asia,Nepal,Solar energy,On-grid Solar photovoltaic,2.402
Asia,Nepal,Wind energy,Onshore wind energy,0.296
Asia,Pakistan,Nuclear,Nuclear,9131
Asia,Pakistan,Bioenergy,Biogas,18.944
Asia,Pakistan,Bioenergy,Solid biofuels,3005.453
Asia,Pakistan,Hydropower (excl. Pumped Storage),Renewable hydropower,52.826
Asia,Pakistan,Hydropower (excl. Pumped Storage),Renewable hydropower,33397.116
Asia,Pakistan,Solar energy,Off-grid Solar photovoltaic,17.411
Asia,Pakistan,Solar energy,On-grid Solar photovoltaic,1528
Asia,Pakistan,Wind energy,Onshore wind energy,0.272
Asia,Pakistan,Wind energy,Onshore wind energy,2650.453
Asia,Philippines,Bioenergy,Biogas,104.524
Asia,Philippines,Bioenergy,Biogas,16.218
Asia,Philippines,Bioenergy,Solid biofuels,1088.605
Asia,Philippines,Geothermal energy,Geothermal energy,10435.305
Asia,Philippines,Hydropower (excl. Pumped Storage),Renewable hydropower,64.787
Asia,Philippines,Hydropower (excl. Pumped Storage),Renewable hydropower,8596.971
Asia,Philippines,Solar energy,Off-grid Solar photovoltaic,1.491
Asia,Philippines,Solar energy,On-grid Solar photovoltaic,1249.116
Asia,Philippines,Wind energy,Onshore wind energy,1152.923
Asia,Republic of Korea,Nuclear,Nuclear,133505.261
Asia,Republic of Korea,Bioenergy,Biogas,556.64
Asia,Republic of Korea,Bioenergy,Solid biofuels,5231.13
Asia,Republic of Korea,Bioenergy,Liquid biofuels,1609.999
Asia,Republic of Korea,Bioenergy,Renewable municipal waste,174.42
Asia,Republic of Korea,Hydropower (excl. Pumped Storage),Renewable hydropower,3359.418
Asia,Republic of Korea,Solar energy,On-grid Solar photovoltaic,9208.099
Asia,Republic of Korea,Wind energy,Onshore wind energy,2372.636
Asia,Republic of Korea,Wind energy,Offshore wind energy,92.243
Asia,Singapore,Bioenergy,Solid biofuels,425.3
Asia,Singapore,Bioenergy,Renewable municipal waste,1584.35
Asia,Singapore,Solar energy,On-grid Solar photovoltaic,171
Asia,Singapore,Wind energy,Onshore wind energy,0.35
Asia,Sri Lanka,Bioenergy,Solid biofuels,56.029
Asia,Sri Lanka,Hydropower (excl. Pumped Storage),Renewable hydropower,7.491
Asia,Sri Lanka,Hydropower (excl. Pumped Storage),Renewable hydropower,6381
Asia,Sri Lanka,Solar energy,Off-grid Solar photovoltaic,11.694
Asia,Sri Lanka,Solar energy,On-grid Solar photovoltaic,128.971
Asia,Sri Lanka,Wind energy,Onshore wind energy,326.3
Asia,Tajikistan,Hydropower (excl. Pumped Storage),Renewable hydropower,178.875
Asia,Tajikistan,Hydropower (excl. Pumped Storage),Renewable hydropower,18394.4
Asia,Thailand,Bioenergy,Biogas,2328.716
Asia,Thailand,Bioenergy,Solid biofuels,26257.941
Asia,Thailand,Bioenergy,Renewable municipal waste,118.113
Asia,Thailand,Geothermal energy,Geothermal energy,1
Asia,Thailand,Hydropower (excl. Pumped Storage),Renewable hydropower,7783
Asia,Thailand,Solar energy,On-grid Solar photovoltaic,4537
Asia,Thailand,Wind energy,Onshore wind energy,1641
Asia,Timor-Leste,Hydropower (excl. Pumped Storage),Renewable hydropower,1.5
Asia,Timor-Leste,Solar energy,Off-grid Solar photovoltaic,0.936
Asia,Turkmenistan,Hydropower (excl. Pumped Storage),Renewable hydropower,3.154
Asia,Uzbekistan,Hydropower (excl. Pumped Storage),Renewable hydropower,5897.3
Asia,Uzbekistan,Solar energy,Off-grid Solar photovoltaic,6.637
Asia,Uzbekistan,Solar energy,On-grid Solar photovoltaic,0.19
Asia,Viet Nam,Bioenergy,Biogas,0.85
Asia,Viet Nam,Bioenergy,Solid biofuels,397.448
Asia,Viet Nam,Bioenergy,Renewable municipal waste,41.917
Asia,Viet Nam,Hydropower (excl. Pumped Storage),Renewable hydropower,113.004
Asia,Viet Nam,Hydropower (excl. Pumped Storage),Renewable hydropower,84984
Asia,Viet Nam,Solar energy,Off-grid Solar photovoltaic,5.228
Asia,Viet Nam,Solar energy,On-grid Solar photovoltaic,100.502
Asia,Viet Nam,Wind energy,Onshore wind energy,7.2
Asia,Viet Nam,Wind energy,Onshore wind energy,172.791
Asia,Viet Nam,Wind energy,Offshore wind energy,130.349
Central America and the Caribbean,Anguilla,Solar energy,On-grid Solar photovoltaic,1.985
Central America and the Caribbean,Antigua and Barbuda,Solar energy,On-grid Solar photovoltaic,13.073
Central America and the Caribbean,Aruba,Bioenergy,Renewable municipal waste,0
Central America and the Caribbean,Aruba,Solar energy,On-grid Solar photovoltaic,10.712
Central America and the Caribbean,Aruba,Wind energy,Onshore wind energy,136.392
Central America and the Caribbean,Bahamas,Solar energy,Off-grid Solar photovoltaic,0.139
Central America and the Caribbean,Bahamas,Solar energy,On-grid Solar photovoltaic,3.354
Central America and the Caribbean,Barbados,Solar energy,On-grid Solar photovoltaic,37.296
Central America and the Caribbean,Barbados,Wind energy,Onshore wind energy,0.056
Central America and the Caribbean,Belize,Bioenergy,Solid biofuels,136.523
Central America and the Caribbean,Belize,Hydropower (excl. Pumped Storage),Renewable hydropower,249.696
Central America and the Caribbean,Belize,Solar energy,Off-grid Solar photovoltaic,0.037
Central America and the Caribbean,Belize,Solar energy,On-grid Solar photovoltaic,1.025
Central America and the Caribbean,"Bonaire, Sint Eustatius and Saba",Solar energy,On-grid Solar photovoltaic,8.441
Central America and the Caribbean,"Bonaire, Sint Eustatius and Saba",Wind energy,Onshore wind energy,37.1
Central America and the Caribbean,British Virgin Islands,Solar energy,On-grid Solar photovoltaic,0.308
Central America and the Caribbean,British Virgin Islands,Wind energy,Onshore wind energy,1.25
Central America and the Caribbean,Cayman Islands,Solar energy,On-grid Solar photovoltaic,16.165
Central America and the Caribbean,Costa Rica,Bioenergy,Biogas,9.608
Central America and the Caribbean,Costa Rica,Bioenergy,Solid biofuels,76.668
Central America and the Caribbean,Costa Rica,Geothermal energy,Geothermal energy,968.571
Central America and the Caribbean,Costa Rica,Hydropower (excl. Pumped Storage),Renewable hydropower,8342.897
Central America and the Caribbean,Costa Rica,Solar energy,On-grid Solar photovoltaic,9.891
